Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
237,,000.0000,auto,none,2,locked,off
238,,000.0000,auto,none,2,locked,off
239,,000.0000,auto,none,2,locked,off
240,,000.0000,auto,none,2,locked,off
241,,000.0000,auto,none,2,locked,off
242,,000.0000,auto,none,2,locked,off
243,,000.0000,auto,none,2,locked,off
244,,000.0000,auto,none,2,locked,off
245,,000.0000,auto,none,2,locked,off
246,,000.0000,auto,none,2,locked,off
247,,000.0000,auto,none,2,locked,off
248,,000.0000,auto,none,2,locked,off
249,,000.0000,auto,none,2,locked,off
250,,000.0000,auto,none,2,locked,on
251,PTC 5 Disp NE Ex,156.1950,nfm,none,2,unlocked,off
252,PTC Portable,458.4625,nfm,none,2,unlocked,off
253,LackCo COLT,452.7500,fm,none,2,unlocked,off
254,AHSD Buses,157.6200,fm,none,2,unlocked,off
255,Fixed Air2Air,122.7500,am,none,2,unlocked,off
256,Heli Air2Air,123.0250,am,none,2,unlocked,off
257,GldrBlon Air2Air,123.3000,am,none,2,unlocked,off
258,Ocean Air2Air,123.4500,am,none,2,unlocked,off
259,KAVP ATIS,111.6000,am,none,2,unlocked,off
260,KAVP Tower,120.1000,am,none,2,unlocked,off
261,KAVP WX ASOS,120.2750,am,none,2,unlocked,off
262,KAVP A/D SE,120.9500,am,none,2,unlocked,off
263,KAVP Ground,121.9000,am,none,2,unlocked,off
264,KAVP FSS 1,122.2000,am,none,2,unlocked,off
265,KAVP FSS 2,122.6000,am,none,2,unlocked,off
266,KAVP Unicom,122.9500,am,none,2,unlocked,off
267,KAVP A/D NW,126.3000,am,none,2,unlocked,off
268,KAVP A/D Mil,256.7000,am,none,2,unlocked,off
269,KAVP TowrMil,257.8000,am,none,2,unlocked,off
270,Seamans Unicom,122.7000,am,none,2,unlocked,off
271,Skyhaven Unicom,122.8000,am,none,2,unlocked,off
272,,000.0000,auto,none,2,locked,off
273,,000.0000,auto,none,2,locked,off
274,,000.0000,auto,none,2,locked,off
275,,000.0000,auto,none,2,locked,off
276,,000.0000,auto,none,2,locked,off
277,,000.0000,auto,none,2,locked,off
278,,000.0000,auto,none,2,locked,off
279,,000.0000,auto,none,2,locked,off
280,,000.0000,auto,none,2,locked,off
281,,000.0000,auto,none,2,locked,off
282,,000.0000,auto,none,2,locked,off
283,,000.0000,auto,none,2,locked,off
284,,000.0000,auto,none,2,locked,off
285,,000.0000,auto,none,2,locked,off
286,,000.0000,auto,none,2,locked,off
287,,000.0000,auto,none,2,locked,off
288,,000.0000,auto,none,2,locked,off
289,,000.0000,auto,none,2,locked,off
290,,000.0000,auto,none,2,locked,off
291,,000.0000,auto,none,2,locked,off
292,,000.0000,auto,none,2,locked,off
293,,000.0000,auto,none,2,locked,off
294,,000.0000,auto,none,2,locked,off
295,,000.0000,auto,none,2,locked,off
296,,000.0000,auto,none,2,locked,off
297,,000.0000,auto,none,2,locked,off
298,,000.0000,auto,none,2,locked,off
299,,000.0000,auto,none,2,locked,off
300,,000.0000,auto,none,2,locked,on
301,6m FM Simplex,052.5250,fm,none,2,unlocked,off
302,2m Simplex,146.5200,fm,none,2,unlocked,off
303,70cm Simplex,446.0000,fm,none,2,unlocked,off
304,MURS 1,151.8200,nfm,none,2,unlocked,off
305,MURS 2,151.8800,nfm,none,2,unlocked,off
306,MURS 3,151.9400,nfm,none,2,unlocked,off
307,MURS Blue Dot,154.5700,nfm,none,2,unlocked,off
308,MURS Green Dot,154.6000,nfm,none,2,unlocked,off
